"","x"
"1769","59"
"1770","02"
"1771","70"
"1772","43"
"1773","80"
"1774","13"
"1775","61"
"1776","92"
"1777","68"
"1778","23"
"1779","26"
"1780","12"
"1781","21"
"1782","39"
"1783","47"
"1784","29"
"1785","54"
"1786","67"
"1787","57"
"1788","74"
"1789","57"
"1790","87"
"1791","01"
"1792","01"
"1793","02"
"1794","61"
"1795","56"
"1796","11"
"1797","31"
"1798","65"
"1799","91"
"1800","54"
"1801","00"
"1802","30"
"1803","67"
"1804","12"
"1805","36"
"1806","86"
"1807","19"
"1808","10"
"1809","52"
"1810","97"
"1811","36"
"1812","07"
"1813","72"
"1814","39"
"1815","59"
"1816","87"
"1817","89"
"1818","52"
"1819","21"
"1820","19"
"1821","94"
"1822","19"
"1823","80"
"1824","65"
"1825","29"
"1826","76"
"1827","28"
"1828","26"
"1829","82"
"1830","86"
"1831","78"
"1832","84"
"1833","59"
"1834","48"
"1835","38"
"1836","02"
"1837","76"
"1838","68"
"1839","47"
"1840","83"
"1841","58"
"1842","12"
"1843","58"
"1844","74"
"1845","70"
"1846","39"
"1847","13"
"1848","91"
"1849","91"
"1850","89"
"1851","79"
"1852","54"
"1853","12"
"1854","60"
"1855","80"
"1856","77"
"1857","75"
"1858","72"
"1859","84"
"1860","23"
"1861","94"
"1862","68"
"1863","83"
"1864","27"
"1865","66"
"1866","15"
"1867","74"
"1868","87"
"1869","49"
"1870","53"
"1871","18"
"1872","92"
"1873","39"
"1874","69"
"1875","86"
"1876","48"
"1877","71"
"1878","92"
"1879","41"
"1880","55"
"1881","91"
"1882","59"
"1883","39"
"1884","44"
"1885","84"
"1886","38"
"1887","02"
"1888","57"
"1889","97"
"1890","23"
"1891","92"
"1892","48"
"1893","01"
"1894","22"
"1895","21"
"1896","94"
"1897","58"
"1898","26"
"1899","36"
"1900","98"
"1901","43"
"1902","17"
"1903","06"
"1904","80"
"1905","84"
"1906","53"
"1907","47"
"1908","71"
"1909","06"
"1910","17"
"1911","08"
"1912","67"
"1913","56"
"1914","63"
"1915","38"
"1916","69"
"1917","22"
"1918","69"
"1919","29"
"1920","11"
"1921","29"
"1922","96"
"1923","05"
"1924","06"
"1925","02"
"1926","07"
"1927","61"
"1928","85"
"1929","92"
"1930","82"
"1931","73"
"1932","80"
"1933","76"
"1934","70"
"1935","74"
"1936","58"
"1937","51"
"1938","97"
"1939","01"
"1940","75"
"1941","26"
"1942","54"
"1943","38"
"1944","21"
"1945","61"
"1946","68"
"1947","55"
"1948","59"
"1949","86"
"1950","50"
"1951","57"
"1952","14"
"1953","57"
"1954","87"
"1955","86"
"1956","86"
"1957","86"
"1958","73"
"1959","50"
"1960","70"
"1961","39"
"1962","78"
"1963","90"
"1964","68"
"1965","28"
"1966","01"
"1967","61"
"1968","27"
"1969","77"
"1970","84"
"1971","58"
"1972","77"
"1973","66"
"1974","50"
"1975","56"
"1976","80"
"1977","18"
"1978","11"
"1979","91"
"1980","84"
"1981","68"
"1982","33"
