unit_type,dist_name,prov_name,dist_id,prov_id,population_2015_adj,population_2015,population_2010_adj,population_2010
Provincial_Center,Bazarak,Panjsher,801,8,18662.9096568851,14844.7015984617,16203.8727175221,12950.6448482862
District,Shutul,Panjsher,802,8,12291.6602232009,9776.9339465275,10672.1026928797,8529.4804422259
District,Shor Abak,Kandahar,3310,33,16428.2670539431,13067.2406691313,14263.6681335829,11399.9720669948
District,Gomal,Paktika,2508,25,11172.2720840781,8886.5589324779,9700.2064112458,7752.7101924224
District,Lash-e-Juwayn,Farah,3108,31,38508.6029109452,30630.2033820394,33434.6844877023,26722.0514708413
District,Tere Zayi,Khost,2608,26,62349.7473683469,49593.7356375419,54134.5013857596,43265.9963212013
District,Barg-e- Matal,Nuristan,1408,14,21599.5532396333,17180.54367655,18753.5828892705,14988.4531251299
Provincial_Center,Poruns,Nuristan,1401,14,18792.1679538628,14947.5156928077,16316.100421675,13040.3409036542
District,Mandol,Nuristan,1402,14,27766.7348195915,22085.9939799178,24108.1716264656,19268.0086895733
District,Parian,Panjsher,807,8,16565.9251897428,13176.7355593964,14383.1876004501,11495.4963977714
District,Khenj (Hes-e- Awal),Panjsher,805,8,43436.5012249323,34549.9116372946,37713.275571469,30141.6363365275
District,Salang,Parwan,306,3,37588.9199652709,29898.6778002679,32636.1795341671,26083.8615602851
District,Shinwari,Parwan,303,3,60642.6498993821,48235.8892137716,52652.3328318987,42081.4024973018
District,Syah Gerd,Parwan,307,3,140058.589206001,111404.280377816,121604.377809687,97190.0447971635
District,Shekh  Ali,Parwan,309,3,36268.335402634,28848.2689140262,31489.5962836463,25167.475156338
District,Shibar,Bamyan,1005,10,41051.6013287096,32652.9342464623,35642.6120824073,28486.6978521077
District,Kahmard,Bamyan,1006,10,50241.8678552904,39962.984652698,43621.9694945398,34864.0502550239
District,Yakawlang,Bamyan,1003,10,129284.182384633,102834.189226554,112249.615858718,89713.4291409734
District,Lal Wa Sarjangal,Ghor,2108,21,154841.760417665,123162.993193886,134439.70717275,107448.446719782
District,Sang-e-Takht,Daykundi,2207,22,70083.1130370563,55744.9476726241,60848.9145423593,48632.3676414872
District,Khadir,Daykundi,2203,22,64389.7314815298,51216.3611370595,55905.6943063913,44681.5904686712
